series_id,unit_id,variant,weapon_name,slot,slot_name,func_addr,callee_addr,callee_name
000COMMON,000COMMON,001,BeamBoomerang,0,destructor,0x14092A700,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,BeamBoomerang,0,destructor,0x14092A700,0x1406A4DA0,sub_1406A4DA0
000COMMON,000COMMON,001,BeamBoomerang,12,onupdate,0x140DDD470,0x140670A00,sub_140670A00
000COMMON,000COMMON,001,BeamBoomerang,12,onupdate,0x140DDD470,0x1406A5B30,sub_1406A5B30
000COMMON,000COMMON,001,BeamBoomerang,73,collision_check,0x140DDD4B0,0x140689CD0,sub_140689CD0
000COMMON,000COMMON,001,BeamBoomerang,73,collision_check,0x140DDD4B0,0x14066DA30,sub_14066DA30
000COMMON,000COMMON,001,BeamBoomerang,73,collision_check,0x140DDD4B0,0x1406709B0,sub_1406709B0
000COMMON,000COMMON,001,BeamBoomerang,78,factory,0x14094DF10,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,BeamBoomerang,78,factory,0x14094DF10,0x14053DAD4,memset
000COMMON,000COMMON,001,BeamBoomerang,78,factory,0x14094DF10,0x1406A4D20,sub_1406A4D20
000COMMON,000COMMON,001,BeamBoomerang,79,configdmg,0x140F3A650,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,BeamBoomerang,79,configdmg,0x140F3A650,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,BeamBoomerang,79,configdmg,0x140F3A650,0x140DDD510,sub_140DDD510
000COMMON,000COMMON,001,BeamBoomerang,79,configdmg,0x140F3A650,0x14053DAB0,_CxxThrowException
000COMMON,000COMMON,001,BeamBoomerang,81,createcam,0x140DDD2D0,0x14053DAD4,memset
000COMMON,000COMMON,001,BeamBoomerang,81,createcam,0x140DDD2D0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,BeamBoomerang,81,createcam,0x140DDD2D0,0x140DDC790,sub_140DDC790
000COMMON,000COMMON,001,BeamBoomerang,81,createcam,0x140DDD2D0,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,BeamBoomerang,84,config,0x140DDCAC0,0x14063BE40,sub_14063BE40
000COMMON,000COMMON,001,BeamBoomerang,84,config,0x140DDCAC0,0x14066F920,sub_14066F920
000COMMON,000COMMON,001,BeamBoomerang,88,slot_88,0x140E3A440,0x140DDD330,sub_140DDD330
000COMMON,000COMMON,001,BeamBoomerang,88,slot_88,0x140E3A440,0x14068B630,sub_14068B630
000COMMON,000COMMON,001,BeamBoomerang,88,slot_88,0x140E3A440,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,BeamBoomerang,88,slot_88,0x140E3A440,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,BeamBoomerang,88,slot_88,0x140E3A440,0x1403349C0,sub_1403349C0
000COMMON,000COMMON,001,BeamBoomerang,89,slot_89,0x140F3A240,0x140610D20,sub_140610D20
000COMMON,000COMMON,001,BeamBoomerang,89,slot_89,0x140F3A240,0x14053C9D0,__security_check_cookie
000COMMON,000COMMON,001,BeamBoomerang,89,slot_89,0x140F3A240,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,BeamBoomerang,89,slot_89,0x140F3A240,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,BeamBoomerang,89,slot_89,0x140F3A240,0x14062B180,sub_14062B180
000COMMON,000COMMON,001,DelayExplosion,0,destructor,0x14092A3E0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,DelayExplosion,0,destructor,0x14092A3E0,0x1406A4DA0,sub_1406A4DA0
000COMMON,000COMMON,001,DelayExplosion,22,slot_22,0x140DDC880,0x1406733C0,sub_1406733C0
000COMMON,000COMMON,001,DelayExplosion,76,slot_76,0x140DDCAA0,0x140DEAC60,sub_140DEAC60
000COMMON,000COMMON,001,DelayExplosion,78,factory,0x14094E8C0,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,DelayExplosion,78,factory,0x14094E8C0,0x14053DAD4,memset
000COMMON,000COMMON,001,DelayExplosion,78,factory,0x14094E8C0,0x1406A4D20,sub_1406A4D20
000COMMON,000COMMON,001,DelayExplosion,79,configdmg,0x140F388E0,0x140DDCAF0,sub_140DDCAF0
000COMMON,000COMMON,001,DelayExplosion,81,createcam,0x140F38890,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,DelayExplosion,81,createcam,0x140F38890,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,DelayExplosion,81,createcam,0x140F38890,0x14053DAD4,memset
000COMMON,000COMMON,001,DelayExplosion,81,createcam,0x140F38890,0x140F38820,sub_140F38820
000COMMON,000COMMON,001,DelayExplosion,84,config,0x140F41EF0,0x14066F920,sub_14066F920
000COMMON,000COMMON,001,DelayExplosion,88,slot_88,0x140DDC960,0x14068B630,sub_14068B630
000COMMON,000COMMON,001,DelayExplosion,88,slot_88,0x140DDC960,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,DelayExplosion,88,slot_88,0x140DDC960,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,DelayExplosion,88,slot_88,0x140DDC960,0x140334920,sub_140334920
000COMMON,000COMMON,001,FreeFall,0,destructor,0x14092A3E0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,FreeFall,0,destructor,0x14092A3E0,0x1406A4DA0,sub_1406A4DA0
000COMMON,000COMMON,001,FreeFall,2,oninit,0x140F76310,0x1406A5BA0,sub_1406A5BA0
000COMMON,000COMMON,001,FreeFall,22,slot_22,0x140DDC880,0x1406733C0,sub_1406733C0
000COMMON,000COMMON,001,FreeFall,49,slot_49,0x14097E6F0,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,FreeFall,49,slot_49,0x14097E6F0,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,FreeFall,78,factory,0x14094DF60,0x14053DAD4,memset
000COMMON,000COMMON,001,FreeFall,78,factory,0x14094DF60,0x1406A4D20,sub_1406A4D20
000COMMON,000COMMON,001,FreeFall,78,factory,0x14094DF60,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,FreeFall,81,createcam,0x140F387C0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,FreeFall,81,createcam,0x140F387C0,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,FreeFall,81,createcam,0x140F387C0,0x14053DAD4,memset
000COMMON,000COMMON,001,FreeFall,81,createcam,0x140F387C0,0x140DDC790,sub_140DDC790
000COMMON,000COMMON,001,FreeFall,84,config,0x140DDC890,0x14066F920,sub_14066F920
000COMMON,000COMMON,001,FreeFall,84,config,0x140DDC890,0x14063BE40,sub_14063BE40
000COMMON,000COMMON,001,FreeFall,89,slot_89,0x140DDCDF0,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,FreeFall,89,slot_89,0x140DDCDF0,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,FreeFall,89,slot_89,0x140DDCDF0,0x14062B180,sub_14062B180
000COMMON,000COMMON,001,FreeFall_Interaction,0,destructor,0x14092A3E0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,FreeFall_Interaction,0,destructor,0x14092A3E0,0x1406A4DA0,sub_1406A4DA0
000COMMON,000COMMON,001,FreeFall_Interaction,2,oninit,0x140F75740,0x1406A5BA0,sub_1406A5BA0
000COMMON,000COMMON,001,FreeFall_Interaction,2,oninit,0x140F75740,0x14063D160,sub_14063D160
000COMMON,000COMMON,001,FreeFall_Interaction,22,slot_22,0x140DDC880,0x1406733C0,sub_1406733C0
000COMMON,000COMMON,001,FreeFall_Interaction,49,slot_49,0x14097E6F0,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,FreeFall_Interaction,49,slot_49,0x14097E6F0,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,FreeFall_Interaction,78,factory,0x14094DF60,0x14053DAD4,memset
000COMMON,000COMMON,001,FreeFall_Interaction,78,factory,0x14094DF60,0x1406A4D20,sub_1406A4D20
000COMMON,000COMMON,001,FreeFall_Interaction,78,factory,0x14094DF60,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,FreeFall_Interaction,81,createcam,0x140F399F0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,FreeFall_Interaction,81,createcam,0x140F399F0,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,FreeFall_Interaction,81,createcam,0x140F399F0,0x14053DAD4,memset
000COMMON,000COMMON,001,FreeFall_Interaction,81,createcam,0x140F399F0,0x140DDC790,sub_140DDC790
000COMMON,000COMMON,001,FreeFall_Interaction,84,config,0x140DDCDC0,0x14063BE40,sub_14063BE40
000COMMON,000COMMON,001,FreeFall_Interaction,84,config,0x140DDCDC0,0x14066F920,sub_14066F920
000COMMON,000COMMON,001,FreeFall_Interaction,89,slot_89,0x140DDCDF0,0x1405AA780,sub_1405AA780
000COMMON,000COMMON,001,FreeFall_Interaction,89,slot_89,0x140DDCDF0,0x1405B2980,sub_1405B2980
000COMMON,000COMMON,001,FreeFall_Interaction,89,slot_89,0x140DDCDF0,0x14062B180,sub_14062B180
000COMMON,000COMMON,001,PurgeFly,0,destructor,0x14092A3E0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,PurgeFly,0,destructor,0x14092A3E0,0x1406A4DA0,sub_1406A4DA0
000COMMON,000COMMON,001,PurgeFly,78,factory,0x14094DFB0,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,PurgeFly,78,factory,0x14094DFB0,0x14053DAD4,memset
000COMMON,000COMMON,001,PurgeFly,78,factory,0x14094DFB0,0x1406A4D20,sub_1406A4D20
000COMMON,000COMMON,001,PurgeFly,81,createcam,0x140F3A9E0,0x14053D0A0,j_j_?VirtualFree@nu@@YAXPEAX@Z
000COMMON,000COMMON,001,PurgeFly,81,createcam,0x140F3A9E0,0x14053DAD4,memset
000COMMON,000COMMON,001,PurgeFly,81,createcam,0x140F3A9E0,0x140DDC790,sub_140DDC790
000COMMON,000COMMON,001,PurgeFly,81,createcam,0x140F3A9E0,0x14044C4E0,sub_14044C4E0
000COMMON,000COMMON,001,PurgeFly,84,config,0x140DDF4F0,0x14066F920,sub_14066F920
000COMMON,000COMMON,001,PurgeFly,84,config,0x140DDF4F0,0x14063BE40,sub_14063BE40
000COMMON,000COMMON,001,PurgeFly,88,slot_88,0x140DDF360,0x1405AA780,sub_1405AA780
